id,similitud_debris,similitud_derailment,similitud_wreckage,similitud_outbreak,similitud_typhoon,similitud_bombing,similitud_con_I,cercania_bombing,cercania_debris,cercania_derailment,cercania_wreckage,cercania_outbreak
1,0.7139772943087986,0.7141662325177874,0.7137532149042402,0.713317837033953,0.7141703111784798,0.7138300623212542,0.7141678333282471,False,False,False,False,False
4,0.7140293291636876,0.7141763738223484,0.7138144288744245,0.7133461151804242,0.714171324457441,0.7137714539255414,0.7141714266368321,False,True,True,False,False
5,0.9087162072008307,0.908941388130188,0.9084361141378229,0.9078756679188121,0.9089348045262423,0.9084898125041615,0.9089403911070391,False,False,False,False,False
6,0.8744056522846222,0.8746512159705162,0.8741068691015244,0.8736493587493896,0.8746474608778954,0.8741649985313416,0.8746447861194611,False,False,False,False,False
7,0.7996724843978882,0.7998793065547943,0.7994207501411438,0.7989082992076874,0.7998815774917603,0.7994670569896698,0.7998779833316803,False,False,False,False,False
8,0.7996543447176615,0.7998582204182942,0.7994016647338867,0.7989371379216512,0.7998578786849976,0.7994035363197327,0.7998558759689331,False,False,False,False,False
10,0.9162381837765375,0.9164739847183228,0.9159511973460516,0.9153804282347361,0.9164743175109228,0.9159967948993047,0.9164634744326273,False,False,True,False,False
13,0.8330088754494985,0.8332391579945883,0.8327534000078837,0.8322080373764038,0.8332394858201345,0.8327783445517222,0.8332491815090179,False,False,False,False,False
14,0.9996415461812701,0.9999002303395953,0.9993312784603664,0.998692410332816,0.9999014564922878,0.9993735807282584,0.9999037895883832,False,False,False,False,False
15,0.9995684266090393,0.9998411178588867,0.9992455244064331,0.9986154913902283,0.9998401761054992,0.9993051528930664,0.9998462319374084,False,False,False,False,False
16,0.9996619621912638,0.9999266068140665,0.9993408918380737,0.9987060527006785,0.999924918015798,0.9994467894236246,0.9999307096004486,False,False,False,False,False
17,0.8663164575894674,0.8665393511454265,0.8660529812177022,0.8655105392138164,0.8665440877278646,0.8660971204439799,0.8665460467338562,False,False,False,False,False
