similitud_debris,similitud_derailment,similitud_wreckage,similitud_outbreak,similitud_typhoon,similitud_bombing
0.8445344108801621,0.84473972595655,0.8442753507540777,0.8436670303344727,0.8415407813512362,0.8446764808434707
0.7136166180883136,0.7135805317333767,0.7130389894757952,0.7129087362970624,0.7112236618995667,0.7135793481554303
0.8173178651116111,0.8174763674085791,0.8169631416147406,0.8165091926401312,0.8145335614681244,0.8174478357488458
0.8788210286034478,0.8788475063112047,0.8779772983656989,0.8781200912263658,0.8766751752959357,0.8787990609804789
0.93036208783879,0.9306069752749275,0.9301895744660321,0.929305777830236,0.9272743989439571,0.9304119699141559
0.8316955632633634,0.8317419820361667,0.8311811321311526,0.8309945099883609,0.8288527197308011,0.8317268623246087
0.9271553712231773,0.9272363143307822,0.9266139439174107,0.9264227407319205,0.9240318621907916,0.9272849432059697
0.9314712405204773,0.9317861239115397,0.9314338564872742,0.9304578304290771,0.9282055298487345,0.9316887100537617
0.9988739291826884,0.9990141242742538,0.9985586951176325,0.9979397654533386,0.9954047501087189,0.9990171690781912
0.9752824246883393,0.9752080559730529,0.9748347282409668,0.9739216506481171,0.9719491362571716,0.9753356516361237
0.9989794890085856,0.9991853568289015,0.9987534483273824,0.9979597131411234,0.995431039068434,0.9991065594885085
0.8474385848751774,0.8476168424994858,0.8470551548180757,0.8464322222603692,0.844436075952318,0.8475317734259146
0.8348555794129005,0.8351644048323998,0.8342235134198115,0.8337967487481924,0.832344495333158,0.8348401463948764
0.7063559889793396,0.7061688644545419,0.7061737520354134,0.705876920904432,0.7039276446614947,0.7063125882829938
0.9908770074446996,0.9909283667802811,0.9899589568376541,0.9897353152434031,0.987649992108345,0.9908140152692795
0.6659428477287292,0.6661166548728943,0.6657054225603739,0.665246586004893,0.6635780930519104,0.6660685539245605
0.6643513242403666,0.6647880673408508,0.6645551919937134,0.6632295449574789,0.6617412169774374,0.6644977529843649
0.9948254426320394,0.995256761709849,0.9944560726483663,0.9939263661702474,0.9927251736323038,0.994829793771108
0.9986213088035584,0.9989513993263245,0.9985186696052551,0.9973798751831054,0.9949689269065857,0.9987251996994019
0.6655264099438986,0.6657532453536987,0.6654998461405436,0.6646829644838969,0.6629782716433207,0.6656274398167928
0.6658961971600851,0.666112462679545,0.6658505201339722,0.6650657256444296,0.6634575724601746,0.6659913460413615
0.9984782189130783,0.9986756145954132,0.9978751689195633,0.9973344653844833,0.9948206692934036,0.9985864907503128
0.4995533525943756,0.4996877908706665,0.49928873777389526,0.49902206659317017,0.4980733394622803,0.4996216297149658
0.9940236508846283,0.9942567944526672,0.9942392408847809,0.9925743639469147,0.9900918900966644,0.993900254368782
0.0,0.0,0.0,0.0,0.0,0.0
0.8323022623856863,0.8325903117656708,0.8321921130021414,0.8312806288401285,0.829245924949646,0.8324261605739594
0.799454128742218,0.7995139718055725,0.7989214062690735,0.7986805200576782,0.7967585921287537,0.7995380640029908
0.9906706809997559,0.9909440279006958,0.9901842276255289,0.9887772599856058,0.9870012005170187,0.990816056728363
0.4995570778846741,0.4995730519294739,0.49922269582748413,0.49899783730506897,0.4975205063819885,0.49958786368370056
