id,target
0,0
2,1
3,1
9,0
11,0
12,0
21,0
22,0
27,0
29,1
30,0
35,1
42,0
43,0
45,1
46,0
47,0
51,0
58,0
60,0
69,0
70,0
72,1
75,0
84,0
87,1
88,0
90,0
94,1
99,0
101,1
103,0
106,1
108,0
111,0
115,1
116,1
122,0
123,0
124,0
125,0
127,1
140,1
142,0
147,0
148,0
150,0
152,1
154,1
155,0
166,0
167,1
169,0
177,0
179,0
181,1
186,0
188,0
189,0
192,0
200,1
202,0
206,1
207,0
214,1
217,0
223,1
224,0
227,1
228,1
230,0
233,0
234,0
236,1
239,0
250,0
255,0
257,1
259,0
275,0
278,1
282,1
284,0
286,1
288,1
292,1
295,1
300,0
304,0
305,0
306,0
308,0
311,1
317,0
319,0
323,1
324,1
325,1
326,1
333,1
339,0
342,1
343,1
350,0
351,0
357,0
359,0
362,0
366,1
367,0
369,0
373,0
374,1
376,0
377,0
378,0
379,0
382,0
385,0
387,0
388,1
391,0
392,0
395,0
399,0
400,0
403,0
405,0
408,0
411,0
414,0
416,0
417,0
422,0
425,1
428,1
430,0
431,0
433,0
434,0
439,0
441,0
449,1
458,0
460,1
464,0
473,0
488,0
491,0
494,1
497,0
500,0
505,0
507,0
508,0
510,0
511,0
515,0
525,0
529,0
532,0
534,0
537,0
539,0
541,1
545,0
547,0
548,0
549,0
553,0
554,0
555,0
557,1
562,1
566,0
572,0
573,1
582,0
586,0
587,1
590,1
591,1
593,0
595,0
596,0
597,0
601,1
602,1
605,0
610,0
616,1
618,1
620,0
626,0
627,1
629,0
632,0
634,0
639,0
645,0
647,1
648,1
650,1
663,1
666,0
668,0
670,0
673,0
676,0
678,0
692,0
693,1
694,0
695,0
696,0
698,1
701,0
703,0
707,0
708,0
711,0
715,0
718,0
722,0
723,1
733,1
741,0
742,0
743,0
747,1
749,0
750,1
756,0
757,0
760,0
764,0
765,0
766,1
768,1
769,0
771,0
772,0
776,1
778,0
780,0
785,0
789,0
792,0
793,0
811,0
813,1
816,0
821,1
824,0
825,0
827,0
830,0
831,0
839,1
844,0
847,1
850,0
854,1
855,0
858,0
861,0
862,0
865,1
869,1
879,0
880,1
887,0
889,0
897,0
900,1
901,1
904,0
908,1
909,0
910,0
913,1
914,1
917,0
918,0
920,0
922,1
924,0
925,0
927,0
933,0
937,0
943,0
949,0
950,1
954,0
966,0
967,1
969,0
970,0
973,0
975,0
980,0
988,0
989,0
995,1
1000,1
1003,0
1007,1
1011,0
1012,0
1013,0
1014,1
1016,0
1019,1
1025,1
1027,0
1028,0
1030,0
1033,1
1034,0
1039,0
1046,0
1047,0
1053,1
1055,1
1056,0
1059,1
1060,0
1063,0
1064,0
1068,1
1076,0
1086,0
1087,0
1089,0
1092,0
1095,0
1096,0
1097,0
1100,0
1101,0
1107,0
1108,0
1111,1
1115,1
1116,0
1121,1
1125,1
1127,0
1131,1
1133,0
1135,0
1137,1
1140,0
1144,0
1147,0
1148,1
1150,0
1158,0
1159,1
1161,0
1163,0
1165,0
1169,0
1171,0
1172,0
1176,0
1180,0
1184,0
1186,0
1187,0
1192,1
1193,0
1194,0
1197,0
1200,0
1205,0
1210,0
1216,0
1220,1
1231,0
1233,0
1246,1
1247,0
1248,0
1255,1
1256,0
1257,0
1258,1
1260,0
1261,0
1265,0
1266,1
1268,1
1274,1
1281,0
1285,1
1286,0
1291,0
1292,1
1295,1
1299,0
1306,0
1310,0
1311,0
1313,1
1314,0
1322,1
1323,0
1325,0
1329,0
1330,1
1333,0
1336,0
1339,0
1342,0
1344,0
1355,0
1357,1
1358,1
1359,1
1364,1
1366,1
1367,0
1370,0
1373,0
1377,0
1386,0
1387,0
1392,0
1397,1
1398,1
1400,0
1403,0
1404,1
1410,1
1413,0
1416,1
1417,1
1423,0
1424,1
1426,0
1427,0
1428,1
1430,0
1434,1
1435,0
1437,1
1438,1
1442,0
1446,0
1451,0
1457,1
1461,0
1462,0
1465,0
1468,0
1469,1
1471,0
1476,0
1478,1
1481,0
1489,0
1490,1
1492,0
1496,0
1512,1
1516,0
1517,0
1528,1
1529,0
1536,0
1539,0
1541,0
1542,0
1548,0
1550,0
1551,0
1552,0
1557,0
1563,0
1564,0
1565,0
1566,0
1571,0
1578,0
1581,0
1583,0
1584,1
1586,0
1589,0
1592,0
